kod_stacji;typ_problemu;nazwa_stacji;wojewodztwo_nazwa;miejscowosc_nazwa_gios;adres;wgs84_fi_n;wgs84_lambda_e;woj_z_gugik;powiat_z_gugik;gmina_z_gugik;rodzaj_gminy_z_gugik;proponowany_kod_simc;proponowana_nazwa_simc;pewnosc;uzyc_automatycznie;podstawa_korekty;uwagi_do_weryfikacji;mozliwe_miejscowosci_z_pipeline;powod_z_pipeline;uwagi
KpSwiecGruczno2;unsolved_amb;02 - Gruczno;KUJAWSKO-POMORSKIE;GÓRNE GRUCZNO;;53.355556;18.318333;04;14;09;3;0097784;Gruczno;wysoka;TAK;"nazwa GIOŚ GÓRNE GRUCZNO; w SIMC kandydat Gruczno w tej samej gminie bez rodzaju";nazwa opisowa/lokalna;;brak_miejscowosc_id_dla_klucza_('04', '14', '09', 'GÓRNE GRUCZNO');"Wybrano miejscowość SIMC: Gruczno (0097784). Podstawa korekty: nazwa GIOŚ GÓRNE GRUCZNO; w SIMC kandydat Gruczno w tej samej gminie bez rodzaju. Dodatkowe uwagi: nazwa opisowa/lokalna."
KpSwiecPrzechowo;unsolved_amb;01 Przechowo;KUJAWSKO-POMORSKIE;ŚWIECIE PRZECHOWO;;53.398056;18.416389;04;14;09;3;0929687;Przechowo;wysoka;TAK;"nazwa GIOŚ ŚWIECIE PRZECHOWO; w SIMC kandydat Przechowo w tej samej gminie bez rodzaju";wybrano bardziej szczegółowy człon lokalizacji: Przechowo;;brak_miejscowosc_id_dla_klucza_('04', '14', '09', 'ŚWIECIE PRZECHOWO');"Wybrano miejscowość SIMC: Przechowo (0929687). Podstawa korekty: nazwa GIOŚ ŚWIECIE PRZECHOWO; w SIMC kandydat Przechowo w tej samej gminie bez rodzaju. Dodatkowe uwagi: wybrano bardziej szczegółowy człon lokalizacji: Przechowo."
MpPiwnicWSSERyne1004;unsolved_amb;Piwniczna Rynek 2;MAŁOPOLSKIE;PIWNICZNA;ul. Rynek 2;49.4375;20.708611;12;10;13;3;0961768;Piwniczna-Zdrój;wysoka;TAK;"nazwa GIOŚ PIWNICZNA; w SIMC Piwniczna-Zdrój po pominięciu rodzaju_gminy";skrót nazwy uzdrowiska;;brak_miejscowosc_id_dla_klucza_('12', '10', '13', 'PIWNICZNA');"Wybrano miejscowość SIMC: Piwniczna-Zdrój (0961768). Podstawa korekty: nazwa GIOŚ PIWNICZNA; w SIMC Piwniczna-Zdrój po pominięciu rodzaju_gminy. Dodatkowe uwagi: skrót nazwy uzdrowiska."
MpPiwnZdrojoMOB;unsolved_amb;Piwniczna-Zdrój, ul. Zdrojowa;MAŁOPOLSKIE;PIWNICZNA;ul. Zdrojowa;49.444056;20.719889;12;10;13;3;0961768;Piwniczna-Zdrój;wysoka;TAK;"nazwa GIOŚ PIWNICZNA; stacja ma nazwę Piwniczna-Zdrój, ul. Zdrojowa";skrót nazwy uzdrowiska;;brak_miejscowosc_id_dla_klucza_('12', '10', '13', 'PIWNICZNA');"Wybrano miejscowość SIMC: Piwniczna-Zdrój (0961768). Podstawa korekty: nazwa GIOŚ PIWNICZNA; stacja ma nazwę Piwniczna-Zdrój, ul. Zdrojowa. Dodatkowe uwagi: skrót nazwy uzdrowiska."
MpWysowaParkMOB;unsolved_amb;Wysowa-Zdrój, Park Zdrojowy;MAŁOPOLSKIE;UŚCIE GORLICKIE WYSOWA;Wysowa;49.440175;21.178087;12;05;10;2;0468370;Wysowa-Zdrój;wysoka;TAK;"nazwa/adres stacji wskazuje Wysowa-Zdrój; kandydat SIMC w gminie z GUGiK";wybrano człon Wysowa zamiast Uście Gorlickie;Banica (0467896) | Beniówka (0468000) | Beskid (1049215) | Blechnarka (0467904) | Brunary (0467910) | Brunary Niżne (0467927) | Brunary Wyżne (0467933) | Czarna (0467962) | Dujawa (1049221) | Gładyszów (0467991) | Hańczowa (0468051) | Huta Wysowska (0468387) | Izby (0468080) | Jaszkowa (0467956) | Kijów (0468329) | Koło Kościoła (0468016) | Konieczna (0468128) | Kowalów (0468335) | Kunkowa (0468134) | Kwiatoń (0468157) | Leszczyny (0468140) | Ług (0468401) | Markowiec (0468068) | Na Rzekach (0468281) | Niżny Koniec (0467979) | Niżny Koniec (0468022) | Niżny Koniec (0468246) | Nowica (0468163) | Oderne (0468364) | Przysłop (0468170) | Regietów (0468186) | Regietów Niżny (0468192) | Regietów Wyżny (0468200) | Ropki (0468217) | Sidława (1049238) | Skwirtne (0468223) | Smerekowiec (0468230) | Stawiska (0468298) | Stawisza (0468269) | Śnietnica (0468275) | Terpentyny (0468358) | Uście Gorlickie (0468312) | Wierchnia (0468039) | Wierszki (0467940) | Wysowa-Zdrój (0468370) | Wyżny Koniec (0467985) | Wyżny Koniec (0468045) | Wyżny Koniec (0468252) | Za Rzeką (0468074) | Za Wodą (0468306) | Zdynia (0468393);brak_miejscowosc_id_dla_klucza_('12', '05', '10', 'UŚCIE GORLICKIE WYSOWA');"Wybrano miejscowość SIMC: Wysowa-Zdrój (0468370). Podstawa korekty: nazwa/adres stacji wskazuje Wysowa-Zdrój; kandydat SIMC w gminie z GUGiK. Dodatkowe uwagi: wybrano człon Wysowa zamiast Uście Gorlickie."
MpWysowaWSSE0502;unsolved_amb;Uście Gorlickie Wysowa;MAŁOPOLSKIE;UŚCIE GORLICKIE WYSOWA;ul. Wysowa;49.424722;21.176389;12;05;10;2;0468370;Wysowa-Zdrój;wysoka;TAK;"nazwa/adres stacji wskazuje Wysowa; kandydat SIMC Wysowa-Zdrój w gminie z GUGiK";wybrano człon Wysowa zamiast Uście Gorlickie;Banica (0467896) | Beniówka (0468000) | Beskid (1049215) | Blechnarka (0467904) | Brunary (0467910) | Brunary Niżne (0467927) | Brunary Wyżne (0467933) | Czarna (0467962) | Dujawa (1049221) | Gładyszów (0467991) | Hańczowa (0468051) | Huta Wysowska (0468387) | Izby (0468080) | Jaszkowa (0467956) | Kijów (0468329) | Koło Kościoła (0468016) | Konieczna (0468128) | Kowalów (0468335) | Kunkowa (0468134) | Kwiatoń (0468157) | Leszczyny (0468140) | Ług (0468401) | Markowiec (0468068) | Na Rzekach (0468281) | Niżny Koniec (0467979) | Niżny Koniec (0468022) | Niżny Koniec (0468246) | Nowica (0468163) | Oderne (0468364) | Przysłop (0468170) | Regietów (0468186) | Regietów Niżny (0468192) | Regietów Wyżny (0468200) | Ropki (0468217) | Sidława (1049238) | Skwirtne (0468223) | Smerekowiec (0468230) | Stawiska (0468298) | Stawisza (0468269) | Śnietnica (0468275) | Terpentyny (0468358) | Uście Gorlickie (0468312) | Wierchnia (0468039) | Wierszki (0467940) | Wysowa-Zdrój (0468370) | Wyżny Koniec (0467985) | Wyżny Koniec (0468045) | Wyżny Koniec (0468252) | Za Rzeką (0468074) | Za Wodą (0468306) | Zdynia (0468393);brak_miejscowosc_id_dla_klucza_('12', '05', '10', 'UŚCIE GORLICKIE WYSOWA');"Wybrano miejscowość SIMC: Wysowa-Zdrój (0468370). Podstawa korekty: nazwa/adres stacji wskazuje Wysowa; kandydat SIMC Wysowa-Zdrój w gminie z GUGiK. Dodatkowe uwagi: wybrano człon Wysowa zamiast Uście Gorlickie."
MzPlockPKN1;unsolved_amb;Płock-Trzepowo;MAZOWIECKIE;TRZEPOWO;ul. Trzepowo 56;52.5888;19.724289;14;19;13;2;0576303;Nowe Trzepowo;wysoka;TAK;"nazwa GIOŚ TRZEPOWO; w gminie z GUGiK jest Nowe Trzepowo";brak dokładnego Trzepowo w SIMC dla tej gminy;Antonówka (0576094) | Biała (0576036) | Biała-Parcela (0576042) | Bronowo-Zalesie (0576071) | Bronowo Kmiece (0576065) | Brwilno (0576088) | Dziarnowo (0576125) | Kamionki (0576131) | Kobierniki (0576148) | Kowalewko (0576190) | Kruszczewo (0576208) | Ludwikowo (0576214) | Mańkowo (0576220) | Maszewo (0576237) | Maszewo Duże (0576243) | Miłodróż (0576250) | Nowa Biała (0576266) | Nowe Bronowo (0576272) | Nowe Draganie (0576289) | Nowe Proboszczewice (0576295) | Nowe Trzepowo (0576303) | Ogorzelice (0576326) | Pieńki (0576349) | Poświętne (0576059) | Srebrna (0576332) | Stara Biała (0576355) | Stare Draganie (0576119) | Stare Proboszczewice (0576361) | Trzebuń (0576378) | Ulaszewo (0576384) | Włoczewo (0576390) | Wyszyna (0576409);brak_miejscowosc_id_dla_klucza_('14', '19', '13', 'TRZEPOWO');"Wybrano miejscowość SIMC: Nowe Trzepowo (0576303). Podstawa korekty: nazwa GIOŚ TRZEPOWO; w gminie z GUGiK jest Nowe Trzepowo. Dodatkowe uwagi: brak dokładnego Trzepowo w SIMC dla tej gminy."
OpGora12728;unsolved_amb;Góra Św. Anny lokalna 12728;OPOLSKIE;GÓRA ŚW. ANNY;ul. Leśnicka;50.451667;18.163333;16;11;04;3;0497970;Góra Świętej Anny;wysoka;TAK;"nazwa GIOŚ GÓRA ŚW. ANNY; kandydat SIMC Góra Świętej Anny po pominięciu rodzaju_gminy";skrót Św. -> Świętej;;brak_miejscowosc_id_dla_klucza_('16', '11', '04', 'GÓRA ŚW. ANNY');"Wybrano miejscowość SIMC: Góra Świętej Anny (0497970). Podstawa korekty: nazwa GIOŚ GÓRA ŚW. ANNY; kandydat SIMC Góra Świętej Anny po pominięciu rodzaju_gminy. Dodatkowe uwagi: skrót Św. -> Świętej."
PdBorsukowiz;unsolved_amb;Borsukowizna, Szkółka Leśna;PODLASKIE;BORSUKOWIZNA;;53.215492;23.642153;20;11;10;2;0032796;Borsukowizna;niska;TAK;dokładna Borsukowizna istnieje w powiecie sokólskim, ale w innej gminie niż GUGiK;"konflikt GIOŚ/GUGiK; wymaga ręcznego sprawdzenia";Aleksandrówka (0042197) | Babiki (0041890) | Biały Ług (0041915) | Boratyńszczyzna (0041921) | Brzozowy Hrud (0042406) | Chmielowszczyzna (0041938) | Chmielowszczyzna (0041944) | Dziewiczy Ług (0042240) | Grodzisko (0042122) | Grzybowszczyzna (0041967) | Hały-Ług (0042257) | Harkawicze (0041973) | Horczaki (0994414) | Iwniki (1012838) | Jeziorek (0042004) | Klin (0042079) | Klin (0042352) | Knyszewicze (0042027) | Knyszewicze Małe (0041950) | Kozłowy Ług (0042033) | Lipowy Most (0042040) | Litwinowy Ług (1012844) | Łaźnisko (0042056) | Markowy Wygon (0042211) | Minkowce (0042091) | Miszkieniki Małe (0042435) | Miszkieniki Wielkie (0042100) | Nowe Trzciano (0042116) | Nowinka (0042139) | Nowosiółki (0042398) | Nowy Ostrów (0042145) | Ostrów Północny (0042168) | Ostrówek (0042174) | Pierekał (1012850) | Pierożki (0042180) | Pisarzowce (0042323) | Poczopek (0042205) | Podłaźnisko (0042062) | Podświdziałówka (0042151) | Rowek (0042010) | Samogród (0042292) | Słoja (0042228) | Słójka (0042234) | Słójka-Borowszczyzna (0042263) | Sosnowik (0042270) | Stare Trzciano (0042369) | Suchy Hrud (0042085) | Suchynicze (0042286) | Sukowicze (0042300) | Szczęsnowicze (0042317) | Szudziałowo (0042330) | Talkowszczyzna (0042346) | Tołkacze (1012867) | Usnarz Górny (0042375) | Wierzchlesie (0042381) | Wojnowce (0042412) | Zubowszczyzna (0041909) | Zubrzyca Mała (0042429) | Zubrzyca Wielka (0042441);brak_miejscowosc_id_dla_klucza_('20', '11', '10', 'BORSUKOWIZNA');"Wybrano miejscowość SIMC: Borsukowizna (0032796). Podstawa korekty: dokładna Borsukowizna istnieje w powiecie sokólskim, ale w innej gminie niż GUGiK. Dodatkowe uwagi: konflikt GIOŚ/GUGiK; wymaga ręcznego sprawdzenia."
PkCzarnaWSSENafGaz;unsolved_amb;Czarna-OśrNaftaGaz-WSSE;PODKARPACKIE;CZARNA;ul. Ośrodek Wyp-Szkol Nafta-Gaz;49.308889;22.663903;18;01;03;2;0348000;Czarna Górna;niska;TAK;"GIOŚ podaje CZARNA; w gminie z GUGiK są Czarna Górna i Czarna Dolna";"wybrano roboczo Czarna Górna; wymaga sprawdzenia adresu ośrodka";Bystre (0347962) | Chrewt (0347979) | Czarna Dolna (0347991) | Czarna Górna (0348000) | Czarna Kopalnia (0996229) | Dolny Koniec (0348045) | Górny Koniec (0348051) | Lipie (0348016) | Michniowiec (0348022) | Olchowiec (0347985) | Ostre (0348068) | Paniszczów (0996206) | Polana (0348039) | Rabe (0348074) | Rosochate (0996235) | Rosolin (0996241) | Serednie Małe (0990497) | Sokołowa Wola (0996212) | Tworylne (0996258) | Wydrne (0990505) | Żłobek (0348080);brak_miejscowosc_id_dla_klucza_('18', '01', '03', 'CZARNA');"Wybrano miejscowość SIMC: Czarna Górna (0348000). Podstawa korekty: GIOŚ podaje CZARNA; w gminie z GUGiK są Czarna Górna i Czarna Dolna. Dodatkowe uwagi: wybrano roboczo Czarna Górna; wymaga sprawdzenia adresu ośrodka."
SKNowinyCemen;unsolved_amb;Nowiny;ŚWIĘTOKRZYSKIE;SITKÓWKA NOWINY;ul. Przemysłowa 32;50.803894;20.543278;26;04;17;2;0267453;Nowiny;wysoka;TAK;"nazwa stacji Nowiny; GIOŚ SITKÓWKA NOWINY; kandydat SIMC Nowiny w gminie z GUGiK";wybrano bardziej aktualną/konkretną nazwę Nowiny;Bolechowice (0234057) | Kowala (0267424) | Kowala Mała (0267430) | Łany (0267482) | Nowiny (0267453) | Odpadki (0234063) | Podgatcze (1017190) | Podmoście (0234070) | Sitkówka (0267460) | Słowik (1066805) | Sołtysy (0267499) | Szewce (0234494) | Trzcianki (0267447) | Trzcianki (0267507) | Trzcianki (1017209) | Wola Murowana (0267476) | Zagórze (0267513) | Zagrody (0267520) | Zawada (0234502) | Zgórsko (0267559);brak_miejscowosc_id_dla_klucza_('26', '04', '17', 'SITKÓWKA NOWINY');"Wybrano miejscowość SIMC: Nowiny (0267453). Podstawa korekty: nazwa stacji Nowiny; GIOŚ SITKÓWKA NOWINY; kandydat SIMC Nowiny w gminie z GUGiK. Dodatkowe uwagi: wybrano bardziej aktualną/konkretną nazwę Nowiny."
