miejscowosc_id;kod_stacji;kod_miedzynarodowy;nazwa_stacji;stary_kod_stacji;data_uruchomienia;data_zamkniecia;typ_stacji;typ_obszaru;rodzaj_stacji;adres;uwagi;wgs84_fi_n;wgs84_lambda_e
1836;DsCzerStraza;PL0028A;Czerniawa;DsCzer02;1996-07-01;;tło;pozamiejski;kontenerowa stacjonarna;ul. Strażacka 7;Wybrano miejscowość SIMC: Czerniawa-Zdrój (0936463). Podstawa korekty: nazwa GIOŚ CZERNIAWA pasuje do kandydata SIMC Czerniawa-Zdrój w gminie z GUGiK. Dodatkowe uwagi: różnica: skrócona nazwa bez członu -Zdrój.;50.912475;15.31219
3489;DsCzLasMob;PL0599A;Czarny Las - Mobil Mercedes;;2013-01-01;2013-12-31;tło;pozamiejski;mobilna;;;51.541658;16.937064
54;DsDusznikMOB;PL0733A;Duszniki-Zdrój;;2019-01-01;2019-12-31;tło;miejski;mobilna;Sportowa 2a;;50.402645;16.393319
54;DsDuszZiel;;Duszniki Zdrój - ul. Zielona;;1993-01-02;2003-12-31;tło;miejski;w budynku;ul. Zielona 23;;50.393396;16.38247
2245;DsDzialoszyn;PL0054A;Działoszyn;DsDzia01;1996-07-01;2022-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;50.972167;14.941319
791;DsDziePilsud;PL0187A;Dzierżoniów, ul. Piłsudskiego;DsDzierPilsA;2005-01-01;;tło;miejski;kontenerowa stacjonarna;ul. Piłsudskiego 26;;50.732817;16.64805
791;DsDzierKras;;Dzierżoniów - ul. Krasickiego;;1986-01-02;2003-12-31;tło;miejski;w budynku;ul. Krasickiego 36;;50.726338;16.647286
134;DsGlogMob;PL0625A;Głogów - Wita Stwosza - mobil;;2014-01-01;2014-12-31;tło;miejski;mobilna;ul. Wita Stwosza;;51.657022;16.097822
134;DsGlogNorw;PL0188A;Głogów - Norwida;;2011-01-01;2014-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Norwida 3;;51.65713;16.086188
134;DsGlogNorwArch;;Głogów - Norwida Arch;;1994-01-01;2009-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Norwida 3;;51.657152;16.086183
134;DsGlogOrzech;;Głogów, ul. Orzechowa;;1980-01-01;2003-12-31;tło;miejski;w budynku;ul. Orzechowa;;51.648546;16.092286
199;DsGlogowko;;Głogówko;;1980-01-01;2003-12-31;przemysłowa;pozamiejski;w budynku;;;51.731824;16.097768
134;DsGlogSikor;PL0260A;Głogów, ul. Sikorskiego;;2003-10-01;2013-12-31;przemysłowa;podmiejski;kontenerowa stacjonarna;ul. Żukowicka 1;;51.664508;16.040822
134;DsGlogWiStwo;PL0603A;Głogów, ul. Wita Stwosza;DsGlogWita;2015-01-01;;tło;miejski;wolnostojący pobornik pyłu;ul. Wita Stwosza 3;;51.657022;16.097822
136;DsGrodziec;;Grodziec Mały;;1980-01-01;2003-12-31;przemysłowa;pozamiejski;w budynku;;;51.687496;16.073213
300;DsJasnaSport;PL0316A;Jasna Góra - Sportowa;;1996-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;ul. Sportowa 13;;50.873692;14.954236
734;DsJawDmow;;Jawor - Dmowskiego;;1994-01-03;2003-12-31;tło;miejski;w budynku;ul. Dmowskiego 8;;51.057121;16.179854
734;DsJaworMOB;PL0734A;Jawor;;2019-01-01;2019-12-31;tło;miejski;mobilna;ul. Armii Krajowej 9;;51.049212;16.202317
1429;DsJedlinaZdrMOB;PL0803A;Jedlina-Zdrój, ul. Piastowska;;2022-01-13;2023-01-04;tło;miejski;mobilna;Piastowska 6;;50.72062;16.349016
1429;DsJedlZdroj;;Jedlina Zdrój - Plac Zdrojowy;;1993-01-02;2003-12-31;tło;miejski;w budynku;pl. Zdrojowy 1;;50.728378;16.345481
1643;DsJelGorOgin;PL0585A;Jelenia Góra, ul. Ogińskiego;DsJeleniaGoraA;2014-10-20;;tło;miejski;kontenerowa stacjonarna;ul. Ogińskiego 6;;50.913433;15.765608
1643;DsJelGorSoko;PL0586A;Jelenia Góra, ul. Sokoliki;DsJeleniaGoraPM;2014-01-01;;tło;miejski;wolnostojący pobornik pyłu;ul. Sokoliki 6;;50.871214;15.700947
1395;DsJelw05;PL0026A;Jeleniów;;1996-07-01;2009-12-31;tło;pozamiejski;kontenerowa stacjonarna;;;51.224843;15.232984
1643;DsJgCiep;;Jelenia Góra - Cieplice;;1982-01-02;2004-12-31;tło;miejski;kontenerowa stacjonarna;ul. Park Zdrojowy;;50.862966;15.681788
1643;DsJgCiepA;PL0189A;Jelenia Góra - Cieplice (AUT);;2005-01-01;2013-12-31;tło;miejski;kontenerowa stacjonarna;ul. Cervi 14;;50.861853;15.678761
1643;DsJgGrottgeraPM;PL0055A;Jelenia Góra - Grottgera (PM10);;2011-01-01;2011-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Grottgera 7;;50.897497;15.736629
1643;DsJgGrottgeraPMArch;;Jelenia Góra - Grottgera (PM10-Arch);;2004-01-05;2009-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Grottgera 7;;50.897497;15.736629
1643;DsJgScieg;;Jelenia Góra - Ściegiennego;;1995-01-11;2003-12-31;tło;miejski;w budynku;ul. Ściegiennego 5/7;;50.865874;15.679301
1643;DsJgWoln;;Jelenia Góra - Wolności;;1993-01-03;2004-12-31;tło;miejski;w budynku;ul. Wolności 139;;50.885634;15.717597
1643;DsJgZabob;;Jelenia Góra - Zabobrze;;1992-01-04;2006-04-30;tło;miejski;mobilna;ul. Ogińskiego;;50.91447;15.764693
1524;DsKalinowka;PL0261A;Kalinówka;;2003-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;"Wybrano miejscowość SIMC: Rudna (0367373). Podstawa korekty: Kalinówka nie występuje jako aktualna miejscowość SIMC w gminie wskazanej przez GUGiK; źródła wskazują Kalinówkę jako nieistniejącą/historyczną osadę w gminie Rudna albo lokalną nazwę w tym rejonie; przypisano do Rudnej jako miejscowości referencyjnej.. Dodatkowe uwagi: Wybrano Rudna (SIMC 0367373), mimo że nazwa GIOŚ brzmi Kalinówka. Uzasadnienie: Kalinówka wygląda na nazwę historyczną/lokalną/techniczną, a nie aktualną miejscowość w SIMC. GUGiK wskazuje gminę Rudna, a źródła opisują Kalinówkę jako nieistniejącą osadę w powiecie lubińskim/gminie Rudna oraz jako nazwę obiektu fizjograficznego w PRNG. Ponieważ aktualny SIMC nie zawiera osobnej miejscowości Kalinówka dla tej lokalizacji, przypisano stację do miejscowości referencyjnej Rudna. To jest decyzja korekcyjna wymagająca śladu audytowego w kolumnie uwagi..";51.5226;16.244147
1024;DsKamGoraMOB;PL0730A;Kamienna Góra;;2020-01-08;2020-12-30;tło;miejski;mobilna;Wałbrzyska 2c;;50.788079;16.035122
2502;DsKawice;;Kawice;;2003-01-06;2003-12-31;tło;pozamiejski;kontenerowa stacjonarna;;;51.230833;16.428889
1024;DsKgMob;;Kamienna Góra - Mobil Horiba;;2008-01-01;2008-05-05;tło;miejski;mobilna;ul. Szpitalna;;50.786873;16.029129
1024;DsKgSien;;Kamienna Góra - Sienkiewicza;;1995-01-04;2003-12-31;tło;miejski;w budynku;ul. Sienkiewicza 5;;50.781207;16.029155
55;DsKlodzOkrz;;Kłodzko - ul. Okrzei;;1987-01-02;2005-12-31;tło;miejski;w budynku;ul. Okrzei 16;;50.433389;16.650177
55;DsKlodzSzkol;PL0504A;Kłodzko, ul. Szkolna;DsKlodzkoA;2009-06-05;;tło;miejski;kontenerowa stacjonarna;ul. Szkolna 8;;50.433493;16.65366
1579;DsKobierz;;Kobierzyce - Robotnicza;;2003-01-30;2003-12-31;tło;pozamiejski;kontenerowa stacjonarna;ul. Robotnicza 19;;50.968056;16.928056
2627;DsKostrzaMOB;PL0777A;Kostrza;DsZabkowSemi;2021-01-23;2021-12-31;przemysłowa;podmiejski;kontenerowa stacjonarna;ul. Żeromskiego 22;;50.981906;16.266522
359;DsKowMaj;;Kowary - 1-go Maja;;2001-01-15;2002-12-31;tło;miejski;w budynku;ul. 1 Maja 1;;50.793145;15.835843
2154;DsKozDoly;;Kozie Doły;;1980-01-01;2003-12-31;przemysłowa;pozamiejski;w budynku;;;51.727524;16.025971
1821;DsKromolin;PL0262A;Kromolin;;2003-10-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;51.684959;15.894901
2350;DsKudowaMOB;PL0659A;Kudowa-Zdrój;;2017-01-01;2018-01-03;tło;miejski;mobilna;Tadeusza Kościuszki 16;;50.447096;16.238509
2350;DsKudowaSzkoMOB;PL0837A;Kudowa-Zdrój, ul. Szkolna;;2024-01-06;2024-12-31;tło;miejski;mobilna;ul. Szkolna 8;;50.438363;16.243756
2350;DsKudSlon;;Kudowa Zdrój - ul. Słoneczna;DsPolanZdrojMOB;1999-01-02;2004-12-31;tło;miejski;w budynku;ul. Słoneczna 17;;50.439976;16.248312
2495;DsLadekMOB;PL0686A;Lądek-Zdrój;;2018-01-17;2018-12-31;tło;miejski;mobilna;Św. Królowej Jadwigi;;50.341864;16.889899
2495;DsLadekWol;;Lądek Zdrój - ul. Wolności;;1992-01-02;2004-12-31;tło;miejski;w budynku;ul. Wolności 4;;50.345683;16.888804
1755;DsLegAlRzecz;PL0190A;Legnica, al. Rzeczypospolitej;DsLegRzeczA;2004-10-01;;tło;miejski;kontenerowa stacjonarna;al. Rzeczypospolitej 10/12;;51.204503;16.180513
1755;DsLegIwasz;;Legnica - Iwaszkiewicza;;1997-01-01;2003-12-31;tło;miejski;w budynku;ul. Iwaszkiewicza 5;;51.208189;16.216706
1755;DsLegJaworz;;Legnica - Jaworzyńska;;1984-01-01;2003-12-31;tło;miejski;kontenerowa stacjonarna;ul. Jaworzyńska;;51.191168;16.156159
1755;DsLegKsiez;;Legnica - Księżycowa;;1996-10-01;2006-04-30;tło;miejski;kontenerowa stacjonarna;ul. Księżycowa 14;;51.208727;16.190277
1755;DsLegMick;;Legnica - Mickiewicza;;1996-01-01;2004-12-31;tło;miejski;w budynku;ul. Mickiewicza 24;;51.202831;16.164608
1755;DsLegPolarna;PL0738A;Legnica, ul. Polarna;DsLegRzeczA;2019-01-01;;tło;miejski;wolnostojący pobornik pyłu;ul. Polarna 1;;51.208104;16.183784
1755;DsLegPoraz;PL0540A;Legnica - Porazińskiej;;2011-01-01;2013-12-31;przemysłowa;podmiejski;kontenerowa stacjonarna;ul. Porazińskiej;;51.193519;16.135192
1755;DsLegRzecz;;Legnica - Aleja Rzeczypospolitej;;1999-01-09;2005-02-10;tło;miejski;kontenerowa stacjonarna;ul. Rzeczypospolitej;;51.204196;16.179819
1755;DsLegRzeczPM;;Legnica, al. Rzeczypospolitej (PSSE);;2005-01-01;2007-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Rzeczypospolitej;;51.20423;16.180763
1755;DsLegSmok;PL0301A;Legnica - Smokowicka;;2003-01-01;2010-12-31;przemysłowa;miejski;kontenerowa stacjonarna;ul. Smokowicka;;51.180776;16.098375
1755;DsLegZlotor;PL0263A;Legnica - Złotoryjska;;1996-01-03;2010-12-31;przemysłowa;podmiejski;kontenerowa stacjonarna;ul. Złotoryjska;;51.188018;16.129061
1837;DsLesnaRyn;;Leśna - Rynek;;1994-01-02;2002-12-31;tło;miejski;w budynku;ul. Rynek 19;;51.023029;15.263245
2508;DsLubanMieszMOB;PL0747A;Lubań - Mieszka II;;2019-01-01;2021-06-02;tło;miejski;mobilna;ul. Mieszka II 1;;51.119011;15.275539
2508;DsLubanMOB;PL0687A;Lubań - Łączna;;2018-01-11;2018-12-31;tło;miejski;mobilna;ul. Łączna;;51.118412;15.285835
2508;DsLubanRyn;;Lubań - Rynek;;1994-01-02;2004-12-31;tło;miejski;w budynku;ul. Rynek 19;;51.120172;15.290536
2508;DsLubanZaw;;Lubań - Zawidowska;;1993-01-03;2003-12-31;tło;miejski;w budynku;ul. Zawidowska 4;;51.1166;15.27208
2432;DsLubinMaj;PL0056A;Lubin - 1-go Maja;;1998-01-01;2009-12-31;tło;miejski;w budynku;ul. 1 Maja 15;;51.398416;16.199642
2432;DsLubinMob;PL0577A;Lubin - Mobil Mercedes;;2012-01-01;2012-12-31;tło;miejski;mobilna;ul. Wierzbowa;;51.406741;16.187307
2432;DsLubinSowia;;Lubin,ul.Sowia;;2004-01-06;2005-12-31;tło;miejski;kontenerowa stacjonarna;ul. Sowia;;51.38;16.212564
2432;DsLubiWierzb;PL0632A;Lubin - Wierzbowa;;2016-01-01;2016-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Wierzbowa 70;;51.406505;16.188329
473;DsLwowekPart;;Lwówek Śl.- Partyzantów;;1994-01-02;2003-12-31;tło;miejski;w budynku;ul. Partyzantów 6;;51.111733;15.579598
473;DsLwowekSlasMOB;PL0804A;Lwówek Śląski, al. Wojska Polskiego;;2022-01-13;2023-12-31;tło;miejski;mobilna;al. Wojska Polskiego;;51.113033;15.585239
604;DsMiliczMOB;PL0778A;Milicz;;2021-01-08;2021-12-31;tło;miejski;mobilna;ul. Armii Krajowej 7;;51.52785;17.276844
2008;DsNowRudJezi;PL0745A;Nowa Ruda, ul. Jeziorna;DsNRudaSrebP;2019-01-01;;tło;miejski;kontenerowa stacjonarna;ul. Jeziorna 19;;50.581492;16.498245
2008;DsNowRudSreb;PL0191A;Nowa Ruda - Srebrna;DsNRudaSrebP;2011-01-01;2018-12-31;tło;miejski;kontenerowa stacjonarna;ul. Srebrna 1a;;50.579914;16.514422
2008;DsNRudaPil;;Nowa Ruda - ul. Piłsudskiego;;2000-01-02;2003-07-31;tło;miejski;w budynku;ul. Piłsudskiego 14;;50.58389;16.502458
1338;DsNRudaSlupPM;;Nowa Ruda - Słupiec (PM10);;2005-03-01;2006-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Wiejska 15;"Wybrano miejscowość SIMC: Słupiec (0984344). Podstawa korekty: nazwa GIOŚ NOWA RUDA - SŁUPIEC; w kandydaturach SIMC jest Słupiec w tej samej jednostce. Dodatkowe uwagi: wybrano bardziej szczegółowy człon lokalizacji: Słupiec.";50.550008;16.553645
2008;DsNRudaSrebA;;Nowa Ruda - ul. Srebrna (AUT);;2005-01-01;2010-12-31;tło;miejski;kontenerowa stacjonarna;ul. Srebrna;;50.579924;16.514303
2008;DsNRudaSrebPArch;;Nowa Ruda - ul. Srebrna (PM10-Arch);;2003-06-06;2009-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Srebrna 1a;;50.579913;16.514422
659;DsOla3Maj;;Oława - 3 Maja;;1978-01-01;2005-12-31;tło;miejski;w budynku;ul. 3 Maja 1A;;50.945755;17.29615
659;DsOlawZolnAK;PL0317A;Oława, ul. Żołnierzy Armii Krajowej;DsOlawaSemi;2008-07-01;;tło;miejski;kontenerowa stacjonarna;ul. Żołnierzy AK 9;;50.942073;17.291333
2248;DsOlesBrzozo;PL0476A;Oleśnica, ul. Brzozowa;DsOlesnicaPM;2011-01-01;;tło;miejski;wolnostojący pobornik pyłu;ul. Brzozowa 7;;51.217483;17.389997
2248;DsOlesnicaPM-Arch;;Oleśnica - Brzozowa (PM10-Arch);;2009-01-01;2009-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Brzozowa 7;;51.217494;17.389998
2248;DsOlesRyn;;Oleśnica - Rynek;;1995-01-01;2005-12-31;tło;miejski;w budynku;ul. Rynek Ratusz 12;;51.209491;17.379688
2387;DsOsieczow21;PL0505A;Osieczów;DsOsieczow;2010-01-01;;tło;pozamiejski;kontenerowa stacjonarna;;;51.31763;15.431719
719;DsPolanPark;;Polanica Zdrój - ul. Parkowa;;1994-01-02;2004-12-31;tło;miejski;w budynku;ul. Parkowa 4;;50.407434;16.511192
719;DsPolanSportMOB;PL0633A;Polanica-Zdrój;;2016-01-01;2017-01-09;tło;miejski;mobilna;ul. Sportowa;;50.415758;16.513058
719;DsPolanZdrojMOB;PL0835A;Polanica-Zdrój al. Zwycięzców;;2023-01-11;2023-12-31;tło;miejski;mobilna;al. Zwycięzców;;50.398834;16.513855
1392;DsPolKasztan;PL0057A;Polkowice, ul. Kasztanowa;DsPolkKasz;2004-05-01;;tło;miejski;wolnostojący pobornik pyłu;ul. Kasztanowa 29;;51.50237;16.075051
1392;DsPolkDabr;;Polkowice - Dąbrowskiego;;1994-01-01;2003-12-31;tło;miejski;w budynku;ul. Dąbrowskiego;;51.503659;16.075061
487;DsPrzerzZdr;;Przerzeczyn Zdrój - ul. Zdrojowa;;1994-01-02;2003-12-31;tło;pozamiejski;w budynku;ul. Zdrojowa 31;;50.685276;16.831781
287;DsRadomierz;PL0318A;Radomierzyce;;1996-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;51.0583;14.973735
1524;DsRudna;PL0265A;Rudna;;2003-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;51.512506;16.251711
1524;DsRudnaWit;;Rudna - W.Witosa;;1992-10-01;2003-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;ul. W. Witosa;;51.504339;16.261379
2382;DsSlone;;Słone;;1980-01-01;2003-12-31;przemysłowa;pozamiejski;w budynku;;;51.661053;16.022652
2051;DsSnie04;PL0058A;Śnieżne Kotły;;1996-07-01;2010-12-31;tło;pozamiejski;kontenerowa stacjonarna;Śnieżne Kotły;"Wybrano miejscowość SIMC: Piechowice (0936285). Podstawa korekty: GUGiK wskazuje gminę miejską Piechowice; Śnieżne Kotły nie są miejscowością SIMC. Dodatkowe uwagi: propozycja administracyjna po gminie; warto ręcznie zaakceptować.";50.778373;15.557425
2310;DsSniezkaObs;PL0003R;Śnieżka;DsSniezka;2000-01-01;2023-12-31;tło;pozamiejski;kontenerowa stacjonarna;Śnieżka;;50.736389;15.739722
2488;DsSobczyce;PL0266A;Sobczyce;;2003-10-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;51.702092;16.067231
2565;DsSoko08;;Sokolec;;1996-11-01;2004-05-19;tło;pozamiejski;kontenerowa stacjonarna;;;50.668056;16.475
2569;DsSpal06;;Spalona;;1996-11-15;2004-05-15;tło;pozamiejski;kontenerowa stacjonarna;;;50.27657;16.538299
1502;DsSrodaSlMOB;PL0726A;Środa Śląska;;2020-01-28;2021-12-31;tło;miejski;mobilna;al. Konstytucji 3 Maja 7;;51.166236;16.597559
2281;DsStrzegomMOB;PL0838A;Strzegom;;2023-01-03;2024-11-25;tło;miejski;mobilna;ul. A. Mickiewicza 2;;50.969633;16.348469
2042;DsStrzMob;PL0506A;Strzelin - Mobil Mercedes;;2010-01-01;2011-12-31;tło;miejski;mobilna;ul. M.Konopnickiej 3;;50.784386;17.079435
1697;DsSwidnFolwa;PL0660A;Świdnica, ul. Folwarczna;;2017-01-01;;tło;miejski;wolnostojący pobornik pyłu;ul. Folwarczna 2;;50.84443;16.494006
1697;DsSwidnMarciMOB;PL0604A;Świdnica - Marcinkowskiego MOB;DsSwidMob;2015-01-01;2015-12-31;tło;miejski;mobilna;ul. Karola Marcinkowskiego 4-6;;50.846559;16.466928
1697;DsSwidnRynek;PL0059A;Świdnica - Rynek;DsSwidRynek;2011-01-01;2016-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Rynek 43;;50.842364;16.486703
1697;DsSwidRynekArch;;Świdnica - Rynek Arch;;2003-07-02;2009-12-31;tło;miejski;w budynku;ul. Rynek 43;;50.84236;16.486704
1697;DsSwidWalb;;Świdnica - ul. Wałbrzyska;;1985-01-02;2003-12-31;tło;miejski;w budynku;ul. Wałbrzyska 15;;50.838047;16.480395
1402;DsSzczaKolej;PL0541A;Szczawno-Zdrój, ul. Kolejowa;DsSzczDZPM;2012-01-01;;tło;miejski;wolnostojący pobornik pyłu;ul. Kolejowa 14;;50.804189;16.254111
1402;DsSzczAzalMob;PL0578A;Szczawno-Zdrój - Azalia - Mobil;;2012-01-01;2012-12-31;tło;miejski;mobilna;ul. Klonowa;;50.806472;16.253264
1402;DsSzczKopPM;PL0267A;Szczawno Zdrój - ul. Kopernika (PM10);;2007-01-01;2011-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Kopernika 2;;50.801538;16.250145
1402;DsSzczMagMob;PL0579A;Szczawno-Zdrój - Magnolia - Mobil;;2012-01-01;2012-12-31;tło;miejski;mobilna;ul. Kopernika;;50.801523;16.250182
1402;DsSzczOgr;;Szczawno Zdrój - ul. Ogrodowa;;1993-01-02;2004-12-31;tło;miejski;w budynku;ul. Ogrodowa 5;;50.805025;16.257246
1402;DsSzczRat;PL0254A;Szczawno Zdrój - ul. Ratuszowa;;1983-04-01;2007-12-31;tło;miejski;w budynku;ul. Ratuszowa 1;;50.802699;16.254862
2023;DsSzklarkiMob;PL0600A;Szklarki - Mobil;;2013-01-01;2013-12-31;tło;pozamiejski;mobilna;;;51.515908;15.747383
2584;DsSzkPor1MajMOB;PL0634A;Szklarska Poręba - 1 Maja;;2016-01-01;2016-12-31;tło;miejski;mobilna;ul. 1 Maja;;50.822706;15.528251
1028;DsTarnowek;PL0268A;Tarnówek;;2003-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;"Wybrano miejscowość SIMC: Tarnówek (0366623). Podstawa korekty: dokładna nazwa SIMC po pominięciu rodzaju_gminy; GUGiK różnił się tylko RODZ. Dodatkowe uwagi: korekta rodzaju_gminy.";51.513299;16.166761
1422;DsTrzebBoch;;Trzebnica-Bochenka;;2004-01-01;2005-12-31;tło;miejski;w budynku;ul. Ks.Bochenka;;51.310278;17.062778
1422;DsTrzebLes;;Trzebnica - Leśna;;1994-01-01;2003-12-31;tło;miejski;w budynku;ul. Leśna;;51.303889;17.07
1422;DsTrzebMob;;Trzebnica - Mobil Mercedes;;2008-04-01;2010-01-31;tło;miejski;mobilna;ul. Żołnierzy Września;;51.305272;17.060139
1422;DsTrzebniMaj;PL0779A;Trzebnica, ul. 3 Maja;DsTrzebnica;2020-12-23;;tło;miejski;kontenerowa stacjonarna;ul. 3 Maja;;51.304817;17.071367
3277;DsWalbBator;;Wałbrzych - ul. Batorego;;1975-01-02;2003-12-31;tło;miejski;w budynku;ul. Batorego 3;;50.774028;16.278035
3277;DsWalbGrodz;;Wałbrzych - ul. Grodzka;;1993-01-02;2004-12-31;tło;miejski;w budynku;ul. Grodzka 73;;50.823623;16.275474
3277;DsWalbJord;PL0060A;Wałbrzych - ul. Jordana;;2001-01-02;2006-12-31;przemysłowa;miejski;w budynku;ul. Jordana 4;;50.759444;16.241389
3277;DsWalbKost;;Wałbrzych - ul. Kosteckiego;;1983-01-02;2003-12-31;przemysłowa;miejski;w budynku;ul. Kosteckiego 2;;50.762702;16.244248
3277;DsWalbrzWyso;PL0192A;Wałbrzych, ul. Wysockiego;DsWalbWysA;2005-01-01;;tło;miejski;kontenerowa stacjonarna;ul. Wysockiego 11;;50.768729;16.269677
3277;DsWalbWysPArch;;Wałbrzych - ul. Wysockiego (PM10-Arch);;2004-01-02;2009-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Wysockiego 11;;50.768747;16.269584
141;DsWitk09;;Witków;;1996-11-01;2004-05-20;tło;pozamiejski;kontenerowa stacjonarna;;;50.81652;16.122029
1536;DsWitka;PL0319A;Witka;;1996-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;"Wybrano miejscowość SIMC: Niedów (0193393). Podstawa korekty: Witka nie istnieje w SIMC; kandydat na podstawie lokalnego kontekstu zbiornika/rzeki Witka w gminie. Dodatkowe uwagi: wymaga ręcznego sprawdzenia.";51.041136;14.980327
1390;DsWlen03;PL0062A;Wleń;;1996-07-01;2010-12-31;tło;pozamiejski;kontenerowa stacjonarna;;;51.012248;15.668279
2191;DsWrocAlWisn;PL0197A;Wrocław, al. Wiśniowa;DsWrocWisA;2005-01-01;;komunikacyjna;miejski;kontenerowa stacjonarna;al. Wiśniowa/ul. Powst. Śląskich;;51.086225;17.012689
2191;DsWrocBartni;PL0193A;Wrocław, ul. Bartnicza;DsWrocBartA;2005-01-01;;tło;podmiejski;kontenerowa stacjonarna;ul. Bartnicza;;51.115933;17.141125
2191;DsWrocGrun;;Wrocław - Grunwald;;1996-01-01;2005-12-31;komunikacyjna;miejski;w budynku;pl. Grunwaldzki 9;;51.109899;17.056491
2191;DsWrocKorzPMArch;;Wrocław - Korzeniowskiego (PM10-Arch);;2005-01-01;2009-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Wyb. J.Conrada-Korzeniowskiego;;51.129409;17.029552
2191;DsWrocKrom;;Wrocław - Kromera;;1995-01-01;2004-12-31;tło;miejski;w budynku;ul. Kromera 44;;51.132752;17.064494
2191;DsWrocNaGrob;PL0490A;Wrocław, ul. Na Grobli;DsWrocGrobla;2010-01-01;;tło;miejski;wolnostojący pobornik pyłu;ul. Na Grobli;;51.103456;17.059225
2191;DsWrocOlsz;;Wrocław - Olszewskiego;;1978-01-01;2003-12-31;tło;miejski;w budynku;ul. Olszewskiego 21;;51.102735;17.096759
